keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F10800#F11541,         78,         67,       146,            0,         400, 10
F10800#F11400,         77,         70,       148,            0,         400, 10
F10800#F10172,         78,         77,       155,            0,         400, 10
F10800#F10101,         80,         63,       145,            0,         400, 10
F10800#F11925,         80,         68,       149,            0,         400, 10
F10800#F10799,         80,         65,       146,            0,         400, 10
F10800#F1082 ,         75,         70,       146,            0,         400, 10
F10800#F1077 ,         81,         84,       165,            0,         400, 10
F10800#F10524,         86,        126,       213,            0,         400, 10
F10800#F11045,         77,         75,       153,            0,         400, 10
F10800#F1027 ,         99,         78,       178,            0,         400, 10
F10800#F10448,        119,         74,       194,            0,         400, 10
F10800#F10127,         97,         86,       185,            0,         400, 10
F10800#F10134,         82,         84,       168,            0,         400, 10
F10800#F1130 ,        116,        144,       262,            0,         400, 10
F10800#F10258,         95,         79,       175,            0,         400, 10
F10800#F11386,         85,         68,       155,            0,         400, 10
F10800#F10156,         87,         73,       161,            0,         400, 10
F10800#F1018 ,         75,         69,       145,            0,         400, 10
F10800#F10078,         90,         68,       159,            0,         400, 10
F10800#F11186,         79,         63,       144,            0,         400, 10
F10800#F10025,         74,         70,       145,            0,         400, 10
F10800#F10882,         78,         72,       151,            0,         400, 10
F10800#F10935,        133,         82,       215,            0,         400, 10
F10800#F10212,         74,        106,       181,            0,         400, 10
F10800#F10129,        108,         68,       176,            0,         400, 10
F10800#F10332,         85,         73,       159,            0,         400, 10
F10800#F10321,         76,         79,       156,            0,         400, 10
F10800#F10076,         87,         69,       158,            0,         400, 10
F10800#F11545,         83,         82,       167,            0,         400, 10
F10800#F11096,         99,         72,       171,            0,         400, 10
F10800#F10060,         83,         69,       152,            0,         400, 10
F10800#F10164,         79,         68,       148,            0,         400, 10
F10800#F10389,         78,         69,       148,            0,         400, 10
F10800#F10133,         82,         77,       160,            0,         400, 10
F10800#F10248,         89,         70,       160,            0,         400, 10
F10800#F11487,         85,         69,       155,            0,         400, 10
F10800#F1016 ,         81,         69,       151,            0,         400, 10
F10800#F10442,         77,         70,       150,            0,         400, 10
F10800#F11185,         84,         68,       153,            0,         400, 10
F10800#F10242,         84,         69,       154,            0,         400, 10
F10800#F11334,        143,         69,       212,            0,         400, 10
F10800#F10291,         88,        130,       218,            0,         400, 10
F10800#F11405,         80,         67,       148,            0,         400, 10
F10800#F1069 ,         79,         82,       162,            0,         400, 10
F10800#F11584,         87,         70,       158,            0,         400, 10
F10800#F10733,        142,         68,       211,            0,         400, 10
F10800#F10476,         78,         70,       148,            0,         400, 10
