keyword   , clientTime, serverTime, exTime, totalTime, resultLength, payloadSize, w1, w2
F285#F1314,         62,         46,      0,       108,            0,         360, 10,  219
F285#F9918,         82,         94,      0,       176,            0,         360, 10,  220
F285#F325 ,         64,         88,      0,       152,            0,         360, 10,  221
F285#F6375,         69,         55,      0,       124,            0,         360, 10,  222
F285#F6123,         68,         50,      0,       118,            0,         360, 10,  223
F285#F1446,         66,         47,      0,       113,            0,         360, 10,  224
F285#F6904,        105,         50,      0,       155,            0,         360, 10,  225
F285#F1990,         63,         50,      0,       113,            0,         360, 10,  226
F285#F4757,         63,         48,      0,       111,            0,         360, 10,  227
F285#F4730,         62,         90,      0,       152,            0,         360, 10,  228
F285#F204 ,         66,         49,      0,       115,            0,         360, 10,  229
F285#F6054,         68,         51,      0,       119,            0,         360, 10,  230
F285#F1684,         69,         97,      0,       166,            0,         360, 10,  231
F285#F7419,         73,         61,      0,       134,            0,         360, 10,  232
F285#F1735,         76,         94,      0,       170,            0,         360, 10,  233
F285#F1614,        104,         51,      0,       155,            0,         360, 10,  234
F285#F5066,         68,         50,      0,       118,            0,         360, 10,  235
F285#F6752,         66,         46,      0,       112,            0,         360, 10,  236
F285#F1549,         64,         91,      0,       155,            0,         360, 10,  237
F285#F5727,         70,         56,      0,       126,            0,         360, 10,  238
F285#F8592,         62,         97,      0,       159,            0,         360, 10,  239
F285#F2714,         65,         52,      0,       117,            0,         360, 10,  240
F285#F4   ,         75,         49,      0,       124,            0,         360, 10,  241
F285#F5321,         71,         91,      0,       162,            0,         360, 10,  242
F285#F9357,         72,         50,      0,       122,            0,         360, 10,  243
F285#F2489,         63,         84,      0,       147,            0,         360, 10,  244
F285#F7155,         74,         52,      0,       126,            0,         360, 10,  245
F285#F4227,         74,         49,      0,       123,            0,         360, 10,  246
F285#F9516,         78,         48,      0,       126,            0,         360, 10,  247
F285#F2318,         71,         49,      0,       120,            0,         360, 10,  248
F285#F3564,        106,         56,      0,       162,            0,         360, 10,  249
F285#F1615,         67,         51,      0,       118,            0,         360, 10,  250
F285#F497 ,         66,         44,      0,       110,            0,         360, 10,  251
F285#F1862,         67,         62,      0,       129,            0,         360, 10,  252
F285#F2409,         81,         60,      0,       141,            0,         360, 10,  253
F285#F9332,         80,        102,      0,       182,            0,         360, 10,  254
F285#F2891,         77,         62,      0,       139,            0,         360, 10,  255
F285#F2585,         77,         98,      0,       175,            0,         360, 10,  256
F285#F4563,         69,         55,      0,       124,            0,         360, 10,  257
F285#F8199,         71,         71,      0,       142,            0,         360, 10,  258
F285#F9519,         74,         95,      0,       169,            0,         360, 10,  259
F285#F2420,         66,         53,      0,       119,            0,         360, 10,  260
F285#F5071,         66,         50,      0,       116,            0,         360, 10,  261
F285#F1927,         65,         94,      0,       159,            0,         360, 10,  262
F285#F3066,         68,         47,      0,       115,            0,         360, 10,  263
F285#F1009,        104,         53,      0,       157,            0,         360, 10,  264
F285#F4312,         69,         49,      0,       118,            0,         360, 10,  265
F285#F6569,         69,         48,      0,       117,            0,         360, 10,  266
F285#F3858,         78,         63,      0,       141,            0,         360, 10,  267
F285#F3707,         79,         57,      0,       136,            0,         360, 10,  268
F285#F2011,         70,         51,      0,       121,            0,         360, 10,  269
F285#F2015,         78,         54,      0,       132,            0,         360, 10,  270
F285#F4549,         72,         52,      0,       124,            0,         360, 10,  271
F285#F620 ,         69,         56,      0,       125,            0,         360, 10,  272
F285#F4552,         71,         50,      0,       121,            0,         360, 10,  273
F285#F5556,         66,         51,      0,       117,            0,         360, 10,  274
F285#F8817,         82,         52,      0,       134,            0,         360, 10,  275
F285#F9123,         68,         52,      0,       120,            0,         360, 10,  276
F285#F1400,         77,         54,      0,       131,            0,         360, 10,  277
F285#F4750,         85,         58,      0,       143,            0,         360, 10,  278
F285#F5920,         68,         56,      0,       124,            0,         360, 10,  279
F285#F2949,         74,         55,      0,       129,            0,         360, 10,  280
F285#F2901,         80,         54,      0,       134,            0,         360, 10,  281
F285#F4194,         73,         56,      0,       129,            0,         360, 10,  282
F285#F5165,         72,         93,      0,       165,            0,         360, 10,  283
F285#F4672,         67,         56,      0,       123,            0,         360, 10,  284
F285#F6727,         66,         51,      0,       117,            0,         360, 10,  285
F285#F8952,         75,         48,      0,       123,            0,         360, 10,  286
F285#F1116,         75,         96,      0,       171,            0,         360, 10,  287
F285#F5590,         82,         55,      0,       137,            0,         360, 10,  288
F285#F1671,         81,         90,      0,       171,            0,         360, 10,  289
F285#F2004,         76,         50,      0,       126,            0,         360, 10,  290
F285#F6293,        106,         57,      0,       163,            0,         360, 10,  291
F285#F4313,         72,         56,      0,       128,            0,         360, 10,  292
F285#F5837,         74,         55,      0,       129,            0,         360, 10,  293
F285#F9317,         76,         48,      0,       124,            0,         360, 10,  294
F285#F2357,         80,         51,      0,       131,            0,         360, 10,  295
F285#F2829,         77,         52,      0,       129,            0,         360, 10,  296
F285#F3588,        124,         97,      0,       221,            0,         360, 10,  297
F285#F9644,        118,         60,      0,       178,            0,         360, 10,  298
F285#F9989,         72,         57,      0,       129,            0,         360, 10,  299
F285#F5083,         74,         52,      0,       126,            0,         360, 10,  300
F285#F3749,         80,         96,      0,       176,            0,         360, 10,  301
F285#F3655,        105,         98,      0,       203,            0,         360, 10,  302
F285#F2070,         75,         64,      0,       139,            0,         360, 10,  303
F285#F1894,         83,         59,      0,       142,            0,         360, 10,  304
F285#F4894,         77,         51,      0,       128,            0,         360, 10,  305
F285#F7341,        113,         52,      0,       165,            0,         360, 10,  306
F285#F1797,         78,         57,      0,       135,            0,         360, 10,  307
F285#F4826,         90,         51,      0,       141,            0,         360, 10,  308
F285#F4418,         77,         52,      0,       129,            0,         360, 10,  309
F285#F78  ,         78,         93,      0,       171,            0,         360, 10,  310
F285#F6496,         73,         51,      0,       124,            0,         360, 10,  311
F285#F2114,        111,         50,      0,       161,            0,         360, 10,  312
F285#F1404,        110,         96,      0,       206,            0,         360, 10,  313
F285#F6523,         75,         95,      0,       170,            0,         360, 10,  314
F285#F2655,         78,         52,      0,       130,            0,         360, 10,  315
F285#F2998,         84,         55,      0,       139,            0,         360, 10,  316
F285#F3513,         78,         90,      0,       168,            0,         360, 10,  317
F285#F5403,        114,         59,      0,       173,            0,         360, 10,  318
F285#F5595,         78,         52,      0,       130,            0,         360, 10,  319
F285#F373 ,         88,         79,      0,       167,            0,         360, 10,  320
F285#F1337,        105,         78,      0,       183,            0,         360, 10,  321
F285#F678 ,         97,         72,      0,       169,            0,         360, 10,  322
F285#F3254,        103,         65,      0,       168,            0,         360, 10,  323
F285#F7297,         98,         66,      0,       164,            0,         360, 10,  324
F285#F1957,         95,         65,      0,       160,            0,         360, 10,  325
F285#F5846,         84,         51,      0,       135,            0,         360, 10,  326
F285#F6086,         76,         47,      0,       123,            0,         360, 10,  327
F285#F5311,         79,         50,      0,       129,            0,         360, 10,  328
F285#F9793,         74,         51,      0,       125,            0,         360, 10,  329
F285#F5688,         74,         57,      0,       131,            0,         360, 10,  330
F285#F2149,         72,         48,      0,       120,            0,         360, 10,  331
F285#F3442,         72,         50,      0,       122,            0,         360, 10,  332
F285#F2211,         75,         50,      0,       125,            0,         360, 10,  333
F285#F1391,         69,         52,      0,       121,            0,         360, 10,  334
F285#F6497,         83,         47,      0,       130,            0,         360, 10,  335
F285#F540 ,         90,         51,      0,       141,            0,         360, 10,  336
F285#F2535,         82,         51,      0,       133,            0,         360, 10,  337
F285#F5750,        113,         55,      0,       168,            0,         360, 10,  338
F285#F262 ,        119,         49,      0,       168,            0,         360, 10,  339
F285#F8567,         72,         46,      0,       118,            0,         360, 10,  340
F285#F6819,         76,         47,      0,       123,            0,         360, 10,  341
F285#F1513,         72,         96,      0,       168,            0,         360, 10,  342
F285#F8003,         74,         57,      0,       131,            0,         360, 10,  343
F285#F2874,         72,         90,      0,       162,            0,         360, 10,  344
F285#F6517,         80,         49,      0,       129,            0,         360, 10,  345
F285#F2745,         70,         56,      0,       126,            0,         360, 10,  346
F285#F8156,         75,         52,      0,       127,            0,         360, 10,  347
F285#F1963,        115,         57,      0,       172,            0,         360, 10,  348
F285#F517 ,        122,         54,      0,       176,            0,         360, 10,  349
F285#F4199,         79,         54,      0,       133,            0,         360, 10,  350
F285#F2219,         84,         54,      0,       138,            0,         360, 10,  351
F285#F365 ,        118,         52,      0,       170,            0,         360, 10,  352
F285#F4512,         94,         56,      0,       150,            0,         360, 10,  353
F285#F8530,         75,         95,      0,       170,            0,         360, 10,  354
F285#F9813,         83,         59,      0,       142,            0,         360, 10,  355
F285#F7500,         76,         59,      0,       135,            0,         360, 10,  356
F285#F6338,         77,         53,      0,       130,            0,         360, 10,  357
F285#F4924,         78,         58,      0,       136,            0,         360, 10,  358
F285#F8430,         80,         51,      0,       131,            0,         360, 10,  359
F285#F2007,         84,         52,      0,       136,            0,         360, 10,  360
F285#F2355,         81,         49,      0,       130,            0,         360, 10,  361
F285#F3840,         78,         95,      0,       173,            0,         360, 10,  362
F285#F9335,        117,         55,      0,       172,            0,         360, 10,  363
F285#F6170,         76,         56,      0,       132,            0,         360, 10,  364
F285#F6701,         81,         65,      0,       146,            0,         360, 10,  365
F285#F6641,         82,         58,      0,       140,            0,         360, 10,  366
F285#F5813,         90,         61,      0,       151,            0,         360, 10,  367
F285#F3324,         92,         62,      0,       154,            0,         360, 10,  368
F285#F4465,        100,         54,      0,       154,            0,         360, 10,  369
F285#F2387,         80,         57,      0,       137,            0,         360, 10,  370
F285#F1846,        117,         59,      0,       176,            0,         360, 10,  371
F285#F3382,         86,        105,      0,       191,            0,         360, 10,  372
F285#F622 ,         91,         65,      0,       156,            0,         360, 10,  373
F285#F1980,        116,         70,      0,       186,            0,         360, 10,  374
F285#F2966,        105,         62,      0,       167,            0,         360, 10,  375
F285#F7272,        100,        115,      0,       215,            0,         360, 10,  376
F285#F6329,        114,         83,      0,       197,            0,         360, 10,  377
F285#F5376,         91,         92,      0,       183,            0,         360, 10,  378
F285#F8205,        112,         77,      0,       189,            0,         360, 10,  379
F285#F3126,        204,         61,      0,       265,            0,         360, 10,  380
