keyword       ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F37278#F63265 ,         1 ,         0 ,        3 ,           0 ,         92
F46630#F19402 ,        16 ,         6 ,       23 ,           9 ,        842
F60778#F37053 ,         7 ,         3 ,       10 ,           3 ,        372
F4859#F5455   ,        55 ,        26 ,       81 ,          21 ,       2710
F11950#F48635 ,        20 ,         8 ,       29 ,          10 ,       1028
F17557#F35400 ,        12 ,         2 ,       15 ,           1 ,        186
F1287#F19050  ,        64 ,        33 ,       98 ,          28 ,       3547
F7696#F41610  ,         9 ,         3 ,       14 ,           4 ,        466
F16335#F2744  ,        76 ,        35 ,      112 ,          33 ,       4109
F8106#F15384  ,        93 ,        40 ,      134 ,          31 ,       4379
F19821#F58465 ,         2 ,         1 ,        3 ,           0 ,         92
F10407#F48016 ,        15 ,         6 ,       22 ,           7 ,        749
F14712#F41813 ,        12 ,         5 ,       18 ,           6 ,        653
F41270#F57368 ,         9 ,         4 ,       14 ,           2 ,        464
F46301#F29640 ,         9 ,         4 ,       14 ,           0 ,        460
F9547#F50137  ,        12 ,         6 ,       18 ,           2 ,        647
F30097#F17556 ,         2 ,         1 ,        3 ,           0 ,         92
F4784#F19703  ,        68 ,        35 ,      104 ,          22 ,       3719
F10919#F9077  ,        41 ,        19 ,       60 ,          13 ,       2139
F58775#F29139 ,         2 ,         0 ,        3 ,           1 ,         93
F26280#F13457 ,        57 ,        22 ,       79 ,          22 ,       2523
F59680#F45072 ,         2 ,         1 ,        3 ,           1 ,         94
F3376#F28728  ,        43 ,        20 ,       65 ,          16 ,       2330
F18419#F40682 ,        23 ,        11 ,       36 ,          12 ,       1217
F4450#F53724  ,         2 ,         0 ,        3 ,           0 ,         92
F55921#F16612 ,         6 ,         2 ,        9 ,           2 ,        280
F54888#F15169 ,         5 ,         2 ,        9 ,           3 ,        281
F30877#F59645 ,         1 ,         1 ,        3 ,           0 ,         92
F26207#F62660 ,         2 ,         1 ,        3 ,           1 ,         93
F53294#F45563 ,        10 ,         4 ,       15 ,           4 ,        468
F22473#F2256  ,        40 ,        20 ,       61 ,          17 ,       2240
F5292#F32116  ,         1 ,         0 ,        3 ,           1 ,         93
F43606#F28999 ,        18 ,         7 ,       26 ,           3 ,        925
F51577#F30826 ,         2 ,         1 ,        4 ,           0 ,         92
F30835#F17146 ,        14 ,         7 ,       22 ,           5 ,        653
F40081#F1589  ,        37 ,        13 ,       51 ,          12 ,       1493
F2723#F38030  ,        43 ,        20 ,       64 ,          20 ,       2337
F32941#F13810 ,         5 ,         2 ,        9 ,           3 ,        280
F42158#F32772 ,         2 ,         0 ,        3 ,           0 ,         92
F48472#F737   ,        17 ,         7 ,       25 ,           9 ,        934
F43701#F62624 ,         2 ,         0 ,        3 ,           0 ,         92
F27127#F16795 ,        37 ,        18 ,       57 ,          14 ,       1957
F14461#F37121 ,        33 ,        15 ,       50 ,          17 ,       1872
F51844#F20991 ,        24 ,        10 ,       34 ,           7 ,       1207
F58208#F11269 ,         1 ,         0 ,        3 ,           1 ,         95
F27158#F35900 ,         3 ,         1 ,        6 ,           1 ,        186
F6702#F40719  ,        31 ,        15 ,       47 ,           8 ,       1577
F8576#F29016  ,        44 ,        16 ,       61 ,          13 ,       1772
F18181#F53998 ,         2 ,         1 ,        3 ,           1 ,         94
F51685#F60433 ,         7 ,         2 ,       11 ,           1 ,        370
F41386#F5654  ,        40 ,        19 ,       60 ,          12 ,       2137
F57845#F44970 ,         4 ,         1 ,        6 ,           1 ,        186
F48153#F4495  ,        17 ,         8 ,       26 ,          10 ,        937
F8783#F60477  ,         3 ,         1 ,        5 ,           2 ,        188
F12803#F31530 ,        55 ,        23 ,       79 ,          15 ,       2785
F11466#F14017 ,        13 ,         5 ,       20 ,           4 ,        742
F15444#F2216  ,       107 ,        49 ,      157 ,          35 ,       5493
F29316#F16772 ,         2 ,         1 ,        3 ,           0 ,         92
F39635#F62485 ,         1 ,         1 ,        3 ,           1 ,         93
F9223#F49033  ,        35 ,        17 ,       53 ,          14 ,       1869
F1686#F61899  ,         1 ,         0 ,        3 ,           1 ,         93
F59551#F50526 ,         4 ,         1 ,        6 ,           1 ,        185
F49479#F23598 ,        17 ,         6 ,       24 ,           4 ,        833
F33434#F3368  ,         1 ,         1 ,        3 ,           1 ,         94
F21303#F44300 ,         9 ,         5 ,       15 ,           2 ,        463
F51282#F14005 ,         5 ,         3 ,        8 ,           1 ,        278
F8853#F60112  ,         2 ,         1 ,        3 ,           1 ,         94
F38328#F24129 ,        26 ,        11 ,       38 ,           7 ,       1299
F31427#F30798 ,        33 ,        15 ,       49 ,           8 ,       1761
F34727#F14422 ,         1 ,         0 ,        3 ,           1 ,         94
F52825#F7704  ,        10 ,         4 ,       15 ,           6 ,        563
F333#F450     ,       165 ,        78 ,      245 ,          65 ,       8512
F33268#F31000 ,         2 ,         1 ,        4 ,           1 ,         93
F52083#F32044 ,         4 ,         2 ,        6 ,           1 ,        186
F30056#F18963 ,        19 ,        10 ,       30 ,           7 ,       1023
F59560#F13581 ,         3 ,         2 ,        6 ,           2 ,        189
F23283#F7907  ,        66 ,        26 ,       93 ,          20 ,       3163
F48211#F27143 ,         7 ,         3 ,       11 ,           2 ,        371
F36578#F40079 ,        10 ,         4 ,       14 ,           3 ,        466
F3966#F47815  ,         7 ,         3 ,       11 ,           4 ,        375
