keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F4392,60,50,0,111,0,360,10,299
F19998#F4368,53,40,0,95,0,360,10,300
F19998#F4345,94,35,0,131,0,360,10,301
F19998#F4337,50,33,0,84,0,360,10,302
F19998#F4317,57,42,0,101,0,360,10,303
F19998#F4310,55,41,0,97,0,360,10,304
F19998#F4289,51,45,0,98,0,360,10,305
F19998#F4261,52,49,0,102,0,360,10,306
F19998#F4243,59,46,0,106,0,360,10,307
F19998#F4221,51,46,0,99,0,360,10,308
F19998#F4200,52,86,0,139,0,360,10,309
F19998#F4175,56,45,0,103,0,360,10,310
F19998#F4167,58,40,0,100,0,360,10,311
F19998#F4148,96,43,0,141,0,360,10,312
F19998#F4125,57,39,0,97,0,360,10,313
F19998#F4104,53,40,0,95,0,360,10,314
F19998#F4094,55,47,0,103,0,360,10,315
F19998#F4075,56,44,0,101,0,360,10,316
F19998#F4062,52,44,0,99,0,360,10,317
F19998#F4046,54,44,0,100,0,360,10,318
F19998#F4023,48,41,0,90,0,360,10,319
F19998#F4016,47,89,0,137,0,360,10,320
F19998#F3990,46,42,0,90,0,360,10,321
F19998#F3978,48,39,0,89,0,360,10,322
F19998#F3960,49,46,0,96,0,360,10,323
F19998#F3940,54,44,0,99,0,360,10,324
F19998#F3925,47,89,0,138,0,360,10,325
F19998#F3909,50,40,0,91,0,360,10,326
F19998#F3897,48,41,0,90,0,360,10,327
F19998#F3878,50,41,0,92,0,360,10,328
F19998#F3877,51,43,0,94,0,360,10,329
F19998#F3856,46,77,0,124,0,360,10,330
F19998#F3840,45,43,0,89,0,360,10,331
F19998#F3829,51,86,0,139,0,360,10,332
F19998#F3824,51,40,0,92,0,360,10,333
F19998#F3799,58,49,0,108,0,360,10,334
F19998#F3790,58,40,0,99,0,360,10,335
F19998#F3770,58,40,0,100,0,360,10,336
F19998#F3748,51,42,0,95,0,360,10,337
F19998#F3742,53,91,0,145,0,360,10,338
F19998#F3729,53,90,0,144,0,360,10,339
F19998#F3702,53,42,0,96,0,360,10,340
F19998#F3688,62,40,0,102,0,360,10,341
F19998#F3680,140,47,0,190,0,360,10,342
F19998#F3654,106,51,0,158,0,360,10,343
F19998#F3643,63,50,0,115,0,360,10,344
F19998#F3631,61,98,0,161,0,360,10,345
F19998#F3620,79,50,0,131,0,360,10,346
F19998#F3604,52,89,0,141,0,360,10,347
F19998#F3589,44,41,0,87,0,360,10,348
F19998#F3582,49,42,0,92,0,360,10,349
F19998#F3566,59,43,0,103,0,360,10,350
F19998#F3546,48,36,0,85,0,360,10,351
F19998#F3533,51,81,0,133,0,360,10,352
F19998#F3518,53,37,0,91,0,360,10,353
F19998#F3513,49,39,0,89,0,360,10,354
F19998#F3499,50,85,0,135,0,360,10,355
F19998#F3483,47,36,0,84,0,360,10,356
F19998#F3478,53,36,0,90,0,360,10,357
F19998#F3460,52,38,0,91,0,360,10,358
F19998#F3448,52,35,0,88,0,360,10,359
F19998#F3428,50,38,0,90,0,360,10,360
F19998#F3411,47,34,0,83,0,360,10,361
F19998#F3398,91,36,0,129,0,360,10,362
F19998#F3391,49,35,0,86,0,360,10,363
F19998#F3374,53,37,0,91,0,360,10,364
F19998#F3361,51,32,0,84,0,360,10,365
F19998#F3353,98,38,0,138,0,360,10,366
F19998#F3334,51,51,0,103,0,360,10,367
F19998#F3322,52,37,0,91,0,360,10,368
F19998#F3318,51,37,0,89,0,360,10,369
F19998#F3297,50,37,0,88,0,360,10,370
F19998#F3292,56,31,0,88,0,360,10,371
F19998#F3281,44,34,0,80,0,360,10,372
F19998#F3271,51,33,0,85,0,360,10,373
F19998#F3252,47,36,0,85,0,360,10,374
F19998#F3238,48,37,0,87,0,360,10,375
F19998#F3231,68,41,0,110,0,360,10,376
F19998#F3225,52,36,0,89,0,360,10,377
F19998#F3197,49,84,0,134,0,360,10,378
F19998#F3189,48,38,0,88,0,360,10,379
F19998#F3178,44,79,0,125,0,360,10,380
F19998#F3161,49,32,0,82,0,360,10,381
F19998#F3155,48,36,0,85,0,360,10,382
F19998#F3145,46,87,0,134,0,360,10,383
F19998#F3141,48,37,0,86,0,360,10,384
F19998#F3122,53,42,0,96,0,360,10,385
F19998#F3117,49,96,0,146,0,360,10,386
F19998#F3104,45,38,0,84,0,360,10,387
F19998#F3102,49,38,0,88,0,360,10,388
F19998#F3092,48,37,0,87,0,360,10,389
F19998#F3076,51,91,0,144,0,360,10,390
F19998#F3071,47,43,0,91,0,360,10,391
F19998#F3055,49,74,0,124,0,360,10,392
F19998#F3038,122,54,0,179,0,360,10,393
F19998#F3032,122,51,0,174,0,360,10,394
F19998#F3018,62,48,0,112,0,360,10,395
F19998#F3010,62,42,0,106,0,360,10,396
F19998#F3001,58,43,0,102,0,360,10,397
F19998#F2998,58,36,0,96,0,360,10,398
F19998#F2985,55,36,0,92,0,360,10,399
F19998#F2980,60,41,0,102,0,360,10,400
F19998#F2961,54,40,0,95,0,360,10,401
F19998#F2949,46,82,0,129,0,360,10,402
F19998#F2945,57,34,0,92,0,360,10,403
F19998#F2924,48,43,0,92,0,360,10,404
F19998#F2912,51,87,0,139,0,360,10,405
F19998#F2901,57,39,0,97,0,360,10,406
F19998#F2895,48,86,0,135,0,360,10,407
F19998#F2886,52,38,0,92,0,360,10,408
F19998#F2871,92,87,0,181,0,360,10,409
F19998#F2862,59,36,0,96,0,360,10,410
F19998#F2851,98,41,0,140,0,360,10,411
F19998#F2837,54,38,0,93,0,360,10,412
F19998#F2836,50,39,0,90,0,360,10,413
F19998#F2808,50,36,0,87,0,360,10,414
F19998#F2794,50,37,0,88,0,360,10,415
F19998#F2783,55,85,0,142,0,360,10,416
F19998#F2770,49,80,0,131,0,360,10,417
F19998#F2763,54,35,0,90,0,360,10,418
F19998#F2749,45,36,0,82,0,360,10,419
F19998#F2744,44,37,0,83,0,360,10,420
F19998#F2736,50,40,0,91,0,360,10,421
F19998#F2731,47,36,0,84,0,360,10,422
F19998#F2725,65,38,0,104,0,360,10,423
F19998#F2719,64,39,0,104,0,360,10,424
F19998#F2704,66,40,0,108,0,360,10,425
F19998#F2696,54,38,0,94,0,360,10,426
F19998#F2681,53,86,0,140,0,360,10,427
F19998#F2680,49,37,0,88,0,360,10,428
F19998#F2671,47,44,0,92,0,360,10,429
F19998#F2652,64,81,0,147,0,360,10,430
F19998#F2637,82,40,0,123,0,360,10,431
F19998#F2634,55,35,0,92,0,360,10,432
F19998#F2621,89,40,0,130,0,360,10,433
F19998#F2609,56,42,0,100,0,360,10,434
F19998#F2605,60,38,0,99,0,360,10,435
F19998#F2594,52,37,0,91,0,360,10,436
F19998#F2591,49,34,0,85,0,360,10,437
F19998#F2580,54,38,0,93,0,360,10,438
F19998#F2576,57,41,0,100,0,360,10,439
F19998#F2568,64,41,0,105,0,360,10,440
F19998#F2563,59,114,0,174,0,360,10,441
F19998#F2554,64,41,0,107,0,360,10,442
F19998#F2548,110,44,0,155,0,360,10,443
F19998#F2546,211,82,0,297,0,360,10,444
F19998#F2526,108,59,0,169,0,360,10,445
