keyword,clientSearchTime,serverTime,resultLength
F3091#F3721,4.014833ms,1.267742591s,43
F58278#F28598,728.753µs,1.028905934s,0
F2565#F20254,2.861984ms,1.175404348s,9
F58721#F38587,861.87µs,750.609175ms,2
F2997#F16861,2.51861ms,1.200913832s,15
F30399#F39644,939.924µs,1.049314305s,8
F28978#F57938,861.414µs,801.48743ms,2
F18992#F36401,2.881173ms,1.202522002s,19
F28472#F23513,1.141724ms,807.979259ms,6
F29716#F14577,2.287171ms,1.206059191s,14
F9263#F20572,1.368319ms,1.016396075s,13
F20099#F42009,1.933123ms,1.169901469s,12
F25958#F30289,1.912321ms,1.034606001s,8
F44588#F61422,723.976µs,1.050195942s,1
F11712#F10184,4.972136ms,2.008733796s,56
F19487#F11817,2.804864ms,1.240604112s,29
F24642#F58410,639.987µs,1.03421342s,1
F21730#F16801,1.458954ms,667.152732ms,4
F51389#F23235,852.602µs,802.144513ms,2
F8396#F32076,652.178µs,1.15930303s,1
F46444#F39738,1.026894ms,745.408298ms,1
F14810#F42915,987.082µs,726.663152ms,2
F62880#F31708,777.264µs,1.082178178s,0
F37282#F12012,2.381138ms,1.00926799s,13
F63375#F32354,736.532µs,1.139369196s,0
F17508#F19939,3.256701ms,1.212705773s,23
F30969#F4861,1.25505ms,671.305328ms,8
F46729#F11637,878.89µs,669.052167ms,6
F58716#F45690,223.481µs,1.066419731s,0
F23509#F63312,704.059µs,1.021243572s,0
F11250#F51766,663.748µs,991.38849ms,0
F14497#F38232,2.471804ms,1.200946134s,9
F39633#F20259,1.448569ms,817.596021ms,4
F8305#F48584,1.387322ms,675.017741ms,6
F40768#F36192,947.008µs,724.044512ms,1
F44537#F30742,2.187127ms,1.02704216s,14
F43077#F34549,1.703638ms,793.754362ms,7
F46222#F21757,1.648491ms,903.164197ms,10
F5337#F60156,713.486µs,1.073009559s,1
F25307#F30937,2.229713ms,964.903067ms,9
F35650#F62029,715.584µs,1.007489209s,0
F25252#F6323,2.648295ms,1.177168243s,19
F5905#F26293,2.008663ms,1.179657337s,17
F38712#F6875,3.132443ms,1.223156485s,20
F4934#F18202,2.417845ms,1.219808586s,32
F57611#F20058,1.007812ms,666.373722ms,5
F17406#F20654,2.11409ms,1.208899231s,15
F3079#F20278,2.79996ms,1.187391621s,37
F60900#F30404,725.741µs,786.059445ms,1
F5991#F9802,2.198796ms,1.188477853s,18
F12183#F45840,1.804896ms,891.618965ms,10
F27946#F58983,881.92µs,809.379807ms,0
F21833#F24317,1.338243ms,1.220194999s,1
